,salary,gender,experience,age,mariage_status,children,health_problems,health_lvl,education,workweek,work_field,has_subs,count_subs
62,18000.0,1,2.0,24.0,0,3.0,0,3,0,40.0,"ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ",0,2.0
63,10000.0,0,0.0,19.0,0,3.0,0,3,0,40.0,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",0,2.0
64,9000.0,0,31.0,56.0,1,1.0,1,3,1,48.0,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",0,2.0
65,26000.0,1,31.0,27.0,0,1.0,0,2,0,40.0,ГРАЖДАНСКОЕ МАШИНОСТРОЕНИЕ,0,2.0
66,50000.0,0,10.0,38.0,1,2.0,1,3,1,40.0,ЗДРАВООХРАНЕНИЕ,0,2.0
67,30000.0,0,66.0,84.0,1,1.0,0,2,1,30.0,ОБРАЗОВАНИЕ,0,2.0
68,20000.0,0,13.0,45.0,1,1.0,1,3,1,40.0,ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ,0,2.0
69,26000.0,1,2.0,25.0,0,1.0,1,4,0,40.0,ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ,0,2.0
70,35000.0,1,2.0,37.0,1,2.0,0,3,1,45.0,"ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ",1,15.0
71,50000.0,0,2.0,32.0,1,2.0,0,2,0,48.0,"ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ",1,20.0
72,20000.0,0,25.0,47.0,0,1.0,0,2,0,36.0,"НАУКА, КУЛЬТУРА",0,20.0
73,35000.0,1,20.0,48.0,1,2.0,0,3,0,40.0,ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ,0,20.0
74,30000.0,1,27.0,48.0,1,2.0,1,3,0,40.0,СТРОИТЕЛЬСТВО,0,20.0
75,35000.0,0,30.0,53.0,1,1.0,0,2,1,40.0,ФИНАНСЫ,1,4.0
76,30000.0,1,35.0,55.0,1,1.0,0,2,0,40.0,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",1,4.0
77,12000.0,0,2.0,30.0,1,2.0,1,3,1,18.0,ОБРАЗОВАНИЕ,0,4.0
